strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,bundle_warning,engine,approval_state,requires_exact_validation,requires_fund_rule_review,requires_user_approval_before_quantlab_write
bw92_boll_or_rsi_none_ma_trend_full_atr_96,300,0.93,-0.0217695572215818,-0.0086647843220202,-0.0077624201447112,0.008905982578798,0.3516404048831187,0.3734099621047005,-0.0243899007348624,-0.0373481568307278,3.621430952952621,273.64666666666665,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_none_ma_trend_full_atr_96,300,0.93,-0.0217192413858947,-0.0079570846899291,-0.0077862936823474,0.0091080811884249,0.3516907207188058,0.3734099621047005,-0.0243811918691239,-0.0373365419810089,3.5065797964913235,273.9166666666667,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_or_rsi_none_ma_trend_full_none,300,0.9266666666666666,-0.0200126775739779,-0.0099261090696329,-0.0095994819402326,0.005808369932209,0.3533972845307226,0.3734099621047005,-0.0245809017953838,-0.0379078766432592,3.4298448504920067,215.59333333333333,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_atr_96,300,0.9133333333333332,-0.0225000182918418,-0.0098863881663368,-0.006655053671922,0.0122442486299087,0.3509099438128587,0.3734099621047005,-0.024209980623485,-0.0368737487617066,2.404273476551433,283.2633333333333,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_none,300,0.9133333333333332,-0.0221730541672318,-0.0098221114509881,-0.0077624745127479,0.0109272353646435,0.3512369079374687,0.3734099621047005,-0.0243144023959158,-0.037075440591039,2.0100568232637395,238.46666666666667,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_ma_trend_full_atr_96,300,0.9133333333333332,-0.0238107991829434,-0.0111137757184079,-0.0081521402339145,0.0108500253005101,0.3495991629217571,0.3734099621047005,-0.0242519615868322,-0.037037845608202,3.020011878258572,282.96,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_none_ma_trend_full_none,300,0.9133333333333332,-0.0197093133674224,-0.0098797935536067,-0.0095737070207108,0.0061619021914411,0.3537006487372781,0.3734099621047005,-0.0245648021038365,-0.0378897605654399,3.2968238702951043,216.22,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_none_macd_trend_full_none,300,0.89,-0.0275463804549726,-0.0103459080290744,-0.0120854518832349,0.005929700629648,0.3458635816497279,0.3734099621047005,-0.0246650312617408,-0.0379544764738778,7.416101684883274,303.28,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_ma_trend_full_none,300,0.8833333333333333,-0.0243966486978093,-0.0121299378906883,-0.0106368524532154,0.0085063687979008,0.3490133134068912,0.3734099621047005,-0.0243858606179028,-0.0373851673080984,2.807961433993509,237.74333333333337,,exact_backtest,external_evidence_only,False,False,True
bw92_rsi_35_none_ma_trend_full_drawdown_90,300,0.8766666666666667,-0.0288820994903823,-0.0124633548085237,-0.0113278312880296,0.0128862418173222,0.3445278626143182,0.3734099621047005,-0.0240599316360718,-0.0366535160136346,3.29004397844881,259.15,,exact_backtest,external_evidence_only,False,False,True
