strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,promotion_state,requires_quantlab_exact_rerun,requires_user_approval_before_strategy_library_write
bw92_boll_lower_rsi_high_trim_none_ma60_break_90,50,1.0,0.0330945554628731,0.0262417198528694,0.0191230006508592,0.0324301717449605,-0.1721673314361083,-0.2052618868989815,-0.0231210002375035,-0.0355704851109045,4.649479471549005,501.96,external_candidate,True,True
bw92_boll_lower_none_none_ma60_break_90,50,1.0,0.0331299474813768,0.0261041114146228,0.0188495298706236,0.0319452643669416,-0.1721319394176046,-0.2052618868989815,-0.0225796638456099,-0.0347564976066358,2.1191000042406656,501.96,external_candidate,True,True
bw92_none_none_none_ma60_break_90,50,1.0,0.0326543255393678,0.0265491732584453,0.0185642355236319,0.0316696734548751,-0.1726075613596137,-0.2052618868989815,-0.0225737432609239,-0.0347249250942523,1.900557750071033,501.96,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_macd_trend_full_ma60_break_90,50,1.0,0.031082235820649,0.0251279065068941,0.0180379235576622,0.0338484282104318,-0.1741796510783324,-0.2052618868989815,-0.0236184237859706,-0.0362027191301566,7.606273101244273,500.58,external_candidate,True,True
bw92_boll_or_rsi_rsi_high_trim_none_ma60_break_90,50,1.0,0.0312736877026471,0.0241558800409474,0.0180075569253407,0.0311033795187427,-0.1739881991963343,-0.2052618868989815,-0.0232742240841592,-0.0357937139406349,5.256966680192924,499.74,external_candidate,True,True
bw92_rsi_35_rsi_high_trim_none_ma60_break_90,50,1.0,0.0311968251063548,0.0242092107557571,0.0179720142864798,0.0311044449867974,-0.1740650617926266,-0.2052618868989815,-0.0232834782242378,-0.0357856579624958,5.202707054319014,499.76,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_strong_trend_full_ma60_break_90,50,1.0,0.0309081612206344,0.0228254442271055,0.0179665976125599,0.0343038804765741,-0.1743537256783471,-0.2052618868989815,-0.0235737205066697,-0.0361815180828407,8.432864862148755,501.18,external_candidate,True,True
bw92_boll_or_rsi_none_none_ma60_break_90,50,1.0,0.0313283464292589,0.0237133441784816,0.0177400031473853,0.0306225648788729,-0.1739335404697226,-0.2052618868989815,-0.0227427291995062,-0.035009134313547,2.731702737394982,499.76,external_candidate,True,True
bw92_rsi_35_none_none_ma60_break_90,50,1.0,0.0312490800109251,0.0240355584309321,0.0177038716470747,0.0306252029184736,-0.1740128068880563,-0.2052618868989815,-0.0227468999620804,-0.0350011867845546,2.677536347208368,499.78,external_candidate,True,True
bw92_none_none_none_drawdown_90,50,1.0,0.02938254949707,0.0239152894878658,0.0171421513362667,0.0302257482178558,-0.1758793374019115,-0.2052618868989815,-0.0226018819099846,-0.0347836538772698,1.645467342138257,501.96,external_candidate,True,True
bw92_boll_or_rsi_boll_upper_trim_macd_trend_full_ma60_break_90,50,1.0,0.0292773881022966,0.0225710736161416,0.0169295391073422,0.0324759131537995,-0.1759844987966849,-0.2052618868989815,-0.0237440400733985,-0.0363757169311549,8.193429223334403,498.36,external_candidate,True,True
bw92_rsi_35_boll_upper_trim_macd_trend_full_ma60_break_90,50,1.0,0.0291980838584531,0.0225710736161416,0.0168933175225285,0.03247860170052,-0.1760638030405283,-0.2052618868989815,-0.0237482124100712,-0.036367769392319,8.138740772926633,498.38,external_candidate,True,True
bw92_boll_or_rsi_boll_upper_trim_strong_trend_full_ma60_break_90,50,1.0,0.0290909060914491,0.0212229264137132,0.0168542055710874,0.0329391483761897,-0.1761709808075324,-0.2052618868989815,-0.0236581994903937,-0.0363557049996568,9.016869450618142,498.94,external_candidate,True,True
bw92_rsi_35_boll_upper_trim_strong_trend_full_ma60_break_90,50,1.0,0.0290115977760487,0.020989031591346,0.0168179575047159,0.0329417701457335,-0.1762502891229328,-0.2052618868989815,-0.0236738369745794,-0.0363483862520759,8.96219282755093,498.96,external_candidate,True,True
bw92_none_none_none_atr_96,50,1.0,0.028710906114922,0.023676796510094,0.0165185703659561,0.0271051133484532,-0.1765509807840595,-0.2052618868989815,-0.0228303562645676,-0.035152474529571,1.3685777537318544,501.96,external_candidate,True,True
bw92_none_none_none_none,50,1.0,0.028710906114922,0.023676796510094,0.0165185703659561,0.0271051133484532,-0.1765509807840595,-0.2052618868989815,-0.0228303562645676,-0.035152474529571,1.3685777537318544,501.96,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_ma_trend_full_ma60_break_90,50,1.0,0.0263367680017243,0.0191095161302816,0.0150730472131666,0.0298208538494784,-0.1789251188972572,-0.2052618868989815,-0.0241976251104515,-0.0369698456467783,8.925685615713858,466.16,external_candidate,True,True
bw92_boll_or_rsi_boll_upper_trim_ma_trend_full_ma60_break_90,50,1.0,0.0250584017916767,0.0162078560581565,0.0142407742234965,0.0289300464360316,-0.1802034851073048,-0.2052618868989815,-0.0242200472336628,-0.0370863080899591,8.973641821483294,464.76,external_candidate,True,True
bw92_rsi_35_boll_upper_trim_ma_trend_full_ma60_break_90,50,1.0,0.0249888308322091,0.0162078560581565,0.0142084054466436,0.0289295369703806,-0.1802730560667723,-0.2052618868989815,-0.0242356847178485,-0.0370789893423782,8.946224541352361,464.78,external_candidate,True,True
bw92_none_none_ma_trend_full_drawdown_90,50,1.0,0.0227507223809118,0.0158883735916021,0.0132712051469986,0.0239556288986351,-0.1825111645180696,-0.2052618868989815,-0.023470457298388,-0.035828498115993,2.3017168884696035,389.66,external_candidate,True,True
