strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,bundle_warning,engine,approval_state,requires_exact_validation,requires_fund_rule_review,requires_user_approval_before_quantlab_write
bw92_boll_lower_none_ma_trend_full_drawdown_90,114,0.9473684210526316,0.0014451070946773,-0.001651931553607,0.0023491703654434,0.0192656302470963,0.1013225163684604,0.099877409273783,-0.0225060988765699,-0.0382546725963403,3.1781438887976825,355.5175438596491,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_none,100,0.94,-0.0028825602045633,0.0003600369727081,0.0017800905570865,0.0161658887747407,0.0972861399108554,0.1001687001154187,-0.02238917297829,-0.0372196371023546,2.2725905358317533,338.07,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_strong_trend_full_none,99,0.9393939393939394,0.0075475057349823,0.0092910417986102,0.0101507353983864,0.0218105361882908,-0.0082126544138271,-0.0157601601488095,-0.0249113081969955,-0.0434021200061506,4.11245248482543,507.1313131313131,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_macd_trend_full_none,106,0.9245283018867924,-0.0083463948326656,-0.0045952381451427,-0.0008944495937728,0.0098484710654142,0.0787576291558851,0.0871040239885507,-0.0281434541742378,-0.0459023274915733,7.317578909950509,401.4811320754717,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_none_atr_96,103,0.9223300970873788,0.00449047752728,0.0097349222732169,0.0047954083024902,0.0248329771707474,0.0777953340829365,0.0733048565556564,-0.0229303060003377,-0.0368268194896719,1.681724094208467,679.1747572815534,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_none_atr_96,99,0.9191919191919192,-0.0056825860219609,0.0063879471283905,0.0008072950109006,0.0207345039241434,0.0758168001216995,0.0814993861436604,-0.0216410478826365,-0.0365143602529159,3.3012386901734865,655.5353535353536,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_strong_trend_full_none,98,0.9183673469387756,-0.0109021076403557,0.00137979578946,0.0031459440814554,0.0179387855113712,0.0633008549571991,0.0742029625975548,-0.0263379827439017,-0.0453467493951654,7.1619553646599154,551.5918367346939,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_strong_trend_full_ma60_break_90,104,0.9134615384615384,-0.0029905671857901,0.0020332023605784,0.0042594563909139,0.0249622807458288,0.0923382050150762,0.0953287722008663,-0.0243480119716931,-0.0436521229316105,5.573875460793529,522.0192307692307,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_strong_trend_full_drawdown_90,92,0.9130434782608696,-0.0056141175939168,-0.0050607348853508,-0.0007833267295087,0.0223094028752874,0.0840234805397067,0.0896375981336235,-0.0252200685647059,-0.0420400673452238,5.30227467656729,526.1521739130435,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_ma_trend_full_none,92,0.9130434782608696,-0.0139338859457817,-0.0023283712645844,-0.0026280474129159,0.0127360624475246,0.2064513947537765,0.2203852806995582,-0.022909129195806,-0.0412705439338631,3.1048406894275455,284.0326086956522,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_ma_trend_full_atr_96,101,0.9108910891089108,-0.0050050441827861,-0.0032784418178535,-0.0008195614857786,0.0141633877979408,0.0723124432526852,0.0773174874354713,-0.023279697102618,-0.0399761421386889,3.8032377513057174,377.2970297029703,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_none_drawdown_90,89,0.9101123595505618,-0.0025691342779454,0.0076886028509509,0.0031468841240722,0.0286661979893572,0.1231718727651499,0.1257410070430954,-0.0238819793976046,-0.0391497091156014,1.9444434455231168,593.1123595505618,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_macd_trend_full_ma60_break_90,100,0.91,6.903801802508159e-05,-0.0015994174809977,0.0026889329563898,0.0213505206950368,0.0393168524836517,0.0392478144656266,-0.0246395273143317,-0.0448856146891117,6.084906126815735,505.47,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_macd_trend_full_none,100,0.91,-0.0035817257177235,-0.0005227853390334,-0.0002866648257056,0.0127229523958557,0.1214742425817369,0.1250559682994604,-0.0244943823068733,-0.0410900872218031,5.748020070857861,443.98,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_macd_trend_full_atr_96,99,0.9090909090909092,0.0006910118818857,0.0015218089181082,0.0049606061471973,0.015512546184241,0.1095378738632557,0.1088468619813699,-0.0242737319874121,-0.0425002811152432,6.053009725563112,458.16161616161617,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_macd_trend_full_atr_96,96,0.90625,-0.0162312631876146,-0.0031704236344277,-0.0032277183114819,0.0110960828881858,0.0856441265419551,0.1018753897295698,-0.0272426626686917,-0.0450385941136666,7.631789983674377,478.3229166666667,,exact_backtest,external_evidence_only,False,False,True
bw92_none_none_ma_trend_full_drawdown_90,95,0.9052631578947368,0.0067058248194111,-0.0003382195875284,0.0022051455297365,0.020503090199813,0.0858580462993635,0.0791522214799524,-0.0204066160530965,-0.0358137827889803,2.7563347884174063,403.89473684210526,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_strong_trend_full_atr_96,95,0.9052631578947368,-0.0052352479428919,-0.0015978947169226,-0.0025343357652108,0.0177288276850332,0.1082762128367149,0.1135114607796069,-0.0252438882577274,-0.0406853222616973,6.468976602973127,558.5052631578948,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_none_none,104,0.903846153846154,-0.0014116698855337,0.0005223333362449,0.0002993515067909,0.0174738030917083,0.0580287332097304,0.0594404030952641,-0.0225705568188755,-0.0389988145939693,3.535166980265259,642.5288461538462,,exact_backtest,external_evidence_only,False,False,True
bw92_boll_lower_none_macd_trend_full_drawdown_90,100,0.9,-0.0116275524758964,-0.0070346449040364,-0.0014741397386764,0.0192861762065498,0.0636310303135331,0.0752585827894295,-0.0266646838430341,-0.0438860773449475,6.537479983592311,500.89,,exact_backtest,external_evidence_only,False,False,True
