strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,promotion_state,requires_quantlab_exact_rerun,requires_user_approval_before_strategy_library_write
bw92_boll_lower_none_ma_trend_full_none,200,0.995,-0.0021201779886103,-0.0007421503527568,0.0003481934993549,0.0141118110927415,-0.0168663127748957,-0.0147461347862854,-0.0268216347615927,-0.0396203935751178,2.773847004238492,290.075,external_candidate,True,True
bw92_boll_lower_none_ma_trend_full_atr_96,200,0.99,-0.0029195650664427,-0.0012344390281919,8.052839430617964e-05,0.0144441771199606,-0.0176656998527282,-0.0147461347862854,-0.0267833582012402,-0.0395312799361672,2.8806584307847123,309.595,external_candidate,True,True
bw92_none_none_ma_trend_full_none,200,0.985,0.0019806296595988,0.0004331435951918,0.0023593313265839,0.0160776904523942,-0.0127655051266865,-0.0147461347862854,-0.0266546376531318,-0.0393007268908324,1.904058270385255,290.81,external_candidate,True,True
bw92_none_none_ma_trend_full_atr_96,200,0.985,0.0013639291410249,0.0003416620203447,0.002181524111789,0.0164009586874341,-0.0133822056452605,-0.0147461347862854,-0.0266435514641723,-0.0392584995064245,2.1027969205215253,310.14,external_candidate,True,True
bw92_none_none_macd_trend_full_atr_96,200,0.98,0.0036231817021467,0.0050582876080887,0.0035777949682948,0.0157045258766493,-0.0111229530841387,-0.0147461347862854,-0.0270691057699204,-0.0396632474098068,4.005334411394236,347.75,external_candidate,True,True
bw92_none_none_ma_trend_full_drawdown_90,200,0.98,0.0003213600148361,-0.0017899078338089,0.0023540520718699,0.0215378083103066,-0.0144247747714492,-0.0147461347862854,-0.0261255216469685,-0.0385555582423225,2.462782593854606,359.33,external_candidate,True,True
bw92_boll_lower_none_macd_trend_full_none,200,0.98,-0.0001151192959985,0.0039646011379972,0.0016803383884841,0.0134787426566839,-0.014861254082284,-0.0147461347862854,-0.0273514042659934,-0.0401256857336021,5.227841383204527,327.755,external_candidate,True,True
bw92_boll_lower_none_macd_trend_full_atr_96,200,0.98,-0.0011187536484288,0.0032223268920975,0.0012166098492317,0.0137897749122229,-0.0158648884347142,-0.0147461347862854,-0.0272802591895269,-0.0399851374765654,5.218804489527627,346.18,external_candidate,True,True
bw92_boll_lower_none_ma_trend_full_drawdown_90,200,0.98,-0.0033588174985749,-0.002056182246639,0.0006379400041478,0.0205511987023754,-0.0181049522848603,-0.0147461347862854,-0.0261922990866754,-0.0387127392446858,2.770232020700912,359.07,external_candidate,True,True
bw92_rsi_35_none_ma_trend_full_none,200,0.98,-0.0016418330189002,8.411976437455726e-05,0.0002770484745175,0.0096616504100824,-0.0163879678051857,-0.0147461347862854,-0.0272454586836935,-0.0401696064538171,3.445917228962793,257.1,external_candidate,True,True
bw92_boll_or_rsi_none_ma_trend_full_none,200,0.98,-0.0018413653406828,-0.0002513275583857,0.0001042229538772,0.0093070761674181,-0.0165875001269683,-0.0147461347862854,-0.0273016113270828,-0.0402370774092214,3.591598418083235,256.225,external_candidate,True,True
bw92_rsi_35_none_ma_trend_full_atr_96,200,0.98,-0.0032422806997671,-0.0009476162218332,-0.0003335086779288,0.0100942167259558,-0.0179884154860526,-0.0147461347862854,-0.0271787401706365,-0.0400201945873295,3.6224792865919233,283.825,external_candidate,True,True
bw92_boll_or_rsi_none_ma_trend_full_atr_96,200,0.98,-0.0033505014068257,-0.0013409931843438,-0.000452557021452,0.0098137308841568,-0.0180966361931112,-0.0147461347862854,-0.0272245372465078,-0.0400793768852671,3.7557224524168897,283.215,external_candidate,True,True
bw92_none_none_macd_trend_full_none,200,0.975,0.0045876481206478,0.0061882188973805,0.0040008553033375,0.0154656832358805,-0.0101584866656375,-0.0147461347862854,-0.0270875581287476,-0.0397212179364564,3.897109359629123,329.925,external_candidate,True,True
bw92_none_none_ma_trend_full_ma60_break_90,200,0.975,0.0012175590884135,0.0004283832509264,0.0026313206271955,0.0220130349958765,-0.0135285756978719,-0.0147461347862854,-0.0263294093849536,-0.0388057895881242,3.302624072411611,343.375,external_candidate,True,True
bw92_boll_lower_none_ma_trend_full_ma60_break_90,200,0.975,0.0008621724499389,9.963845243154967e-06,0.0024754504034782,0.0218406489394577,-0.0138839623363464,-0.0147461347862854,-0.0263596044892073,-0.0388606026169352,3.405273403811199,343.375,external_candidate,True,True
bw92_rsi_35_none_strong_trend_full_none,200,0.975,-0.0004690718981272,0.003284019223105,0.0014655283813678,0.0145450596496413,-0.0152152066844126,-0.0147461347862854,-0.0271263976623978,-0.0399331745267137,6.043231140179041,402.255,external_candidate,True,True
bw92_rsi_35_none_macd_trend_full_none,200,0.975,0.0005357410481236,0.0033347282619815,0.00139387138985,0.0090679079663889,-0.0142103937381618,-0.0147461347862854,-0.0277924961548651,-0.0407214415355012,6.133604927348361,278.785,external_candidate,True,True
bw92_boll_or_rsi_none_macd_trend_full_none,200,0.975,0.0004128492688944,0.0033668790087537,0.0012827304757092,0.0088052276711811,-0.014333285517391,-0.0147461347862854,-0.0278432136478788,-0.0407873705369786,6.275138171282459,276.15,external_candidate,True,True
bw92_rsi_35_none_ma_trend_full_drawdown_90,200,0.975,-0.0042208753913958,-0.0027751005851384,0.0001568752586699,0.0191785555341183,-0.0189670101776812,-0.0147461347862854,-0.0263406384067379,-0.0389041465180572,3.141017548510707,351.21,external_candidate,True,True
