code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.SPY,SPDR S&P 500 ETF,2026-06-01 00:00:00,755.36,758.54,760.28,754.69,0.0,0.0421,43634933.0,33054320042.0,0.27231387478848684,756.48
US.SPY,SPDR S&P 500 ETF,2026-06-02 00:00:00,757.03,759.57,760.4,756.75,0.0,0.03044,31581852.0,23971553507.0,0.13578717008992097,758.54
US.SPY,SPDR S&P 500 ETF,2026-06-03 00:00:00,758.15,754.24,758.8,753.57,0.0,0.04968,51402518.0,38845353593.0,-0.7017128111958135,759.57
US.SPY,SPDR S&P 500 ETF,2026-06-04 00:00:00,752.1,757.09,758.31,751.47,0.0,0.04814,49923036.0,37721336627.0,0.37786380992787744,754.24
US.SPY,SPDR S&P 500 ETF,2026-06-05 00:00:00,752.31,737.55,752.82,735.525,0.0,0.09008,93989416.0,69856092900.0,-2.580934895454976,757.09
US.SPY,SPDR S&P 500 ETF,2026-06-08 00:00:00,743.36,739.22,745.34,738.19,0.0,0.04727,49319144.0,36554266067.0,0.22642532709647792,737.55
US.SPY,SPDR S&P 500 ETF,2026-06-09 00:00:00,743.63,737.05,746.9,722.59,0.0,0.08316,87683517.0,64385414194.0,-0.2935526636184184,739.22
US.SPY,SPDR S&P 500 ETF,2026-06-10 00:00:00,733.39,725.43,738.38,725.33,0.0,0.05758,60341349.0,44064125958.0,-1.5765551862153184,737.05
US.SPY,SPDR S&P 500 ETF,2026-06-11 00:00:00,728.76,737.76,740.0,724.405,0.0,0.08194,86330522.0,63255401622.0,1.699681568173365,725.43
US.SPY,SPDR S&P 500 ETF,2026-06-12 00:00:00,740.57,738.97,740.89,737.96,0.0,0.0034,3578877.0,2646684773.944,0.16400997614400842,737.76
