event_id,rank,match,commence_time,priority_tier,missing_market,tab_match_name,team_scope,tab_market_name,selection_name,line,decimal_odds,observed_at_aest,operator_initials,evidence_note_or_screenshot_ref,verification_status
c1bc8c26480cd42b89a0de5329581314,41,Panama v Croatia,2026-06-23T23:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
68bfc965eb267508e04d8e8d75c1a0ae,42,Colombia v DR Congo,2026-06-24T02:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
d1279ce7f33136a33e99ad442fc855e8,43,Morocco v Haiti,2026-06-24T22:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
885ba95805db310a7bcc3fb1a7a6dd28,44,Scotland v Brazil,2026-06-24T22:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
5993bd5196ca09f83990f0c3261e442e,45,Czech Republic v Mexico,2026-06-25T01:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
c0355dfc6e26ec327e379b6ef5824a5f,46,South Africa v South Korea,2026-06-25T01:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
a5a0b544a984ab16e564264f3e859b43,47,Curaçao v Ivory Coast,2026-06-25T20:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
0ec28b84ec399bd4dffbe8d1bc72b3c4,48,Ecuador v Germany,2026-06-25T20:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
0ed0233bddc4eafc8507f86a9c17b998,49,Japan v Sweden,2026-06-25T23:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
f3c4657daa143a0c5bd62cb370d01ce4,50,Tunisia v Netherlands,2026-06-25T23:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
22f6ac06dfcc88a847920f62633e6459,51,Paraguay v Australia,2026-06-26T02:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending
f41aeac9a8343a84b4950f15ea25fba2,52,Turkey v USA,2026-06-26T02:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
b86b4d60f773e9e3c46c00e9a6496e79,53,Norway v France,2026-06-26T19:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
