code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.SOXX,iShares Semiconductor ETF,2026-03-02 00:00:00,343.57839141,351.83330724,352.113134895,343.128668393,0.0,0.11834,7284006.0,2545068704.0,-0.06812569192428454,352.073159516
US.SOXX,iShares Semiconductor ETF,2026-03-03 00:00:00,337.881899857,334.573937218,339.101148926,330.686331579,0.0,0.29157,17946093.0,6025783708.0,-4.905553188637327,351.83330724
US.SOXX,iShares Semiconductor ETF,2026-03-04 00:00:00,339.75074884,341.329776323,343.5983791,336.582700029,0.0,0.16972,10649868.0,3631615399.0,2.019236513511814,334.573937218
US.SOXX,iShares Semiconductor ETF,2026-03-05 00:00:00,338.691401288,337.552102978,343.508434496,330.366528545,0.0,0.11537,7239331.0,2440045195.0,-1.1067517711742718,341.329776323
US.SOXX,iShares Semiconductor ETF,2026-03-06 00:00:00,328.197864217,323.310874095,334.833777184,321.292117439,0.0,0.13952,8733675.0,2862397994.0,-4.218972051235656,337.552102978
US.SOXX,iShares Semiconductor ETF,2026-03-09 00:00:00,318.114074783,336.162958546,336.962466133,316.025361214,0.0,0.1557,9824632.0,3204868334.0,3.975147599651617,323.310874095
US.SOXX,iShares Semiconductor ETF,2026-03-10 00:00:00,336.102995477,338.601456685,345.347301945,336.102995477,0.0,0.11896,7470989.0,2548624402.0,0.7253916819233102,336.162958546
US.SOXX,iShares Semiconductor ETF,2026-03-11 00:00:00,340.290416461,341.879437789,345.187400428,340.240447237,0.0,0.09944,6215113.0,2129550182.0,0.9680942120250499,338.601456685
US.SOXX,iShares Semiconductor ETF,2026-03-12 00:00:00,337.132361495,329.986762441,337.342232236,328.437716493,0.0,0.12813,8008148.0,2656938823.0,-3.478616738377782,341.879437789
US.SOXX,iShares Semiconductor ETF,2026-03-13 00:00:00,333.669494261,331.116066907,338.191709047,329.587008648,0.0,0.10264,6450826.0,2148668276.0,0.3422272025842012,329.986762441
US.SOXX,iShares Semiconductor ETF,2026-03-16 00:00:00,338.681407443,337.622059891,341.829468565,336.112989322,0.0,0.12758,8018169.0,2722495484.0,1.9648678014248446,331.116066907
US.SOXX,iShares Semiconductor ETF,2026-03-17 00:00:00,340.56,340.25,341.16,336.79,0.0,0.07093,4472077.0,1518649381.0,0.7783674176528715,337.622059891
US.SOXX,iShares Semiconductor ETF,2026-03-18 00:00:00,340.525,338.29,343.44,338.29,0.0,0.10093,6363909.0,2168177543.0,-0.5760470242468713,340.25
US.SOXX,iShares Semiconductor ETF,2026-03-19 00:00:00,328.76,340.2,342.77,326.76,0.0,0.13299,8292080.0,2780881531.0,0.564604333559954,338.29
US.SOXX,iShares Semiconductor ETF,2026-03-20 00:00:00,339.71,332.51,341.25,327.94,0.0,0.15203,9441265.0,3147954762.0,-2.2604350382128153,340.2
