asset_code,date,nav,daily_return,subscription_status_raw,redemption_status_raw,source_url
008887,2026-06-12,2.0513,-1.07%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-11,2.0734,0.54%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-10,2.0622,-1.18%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-09,2.0868,4.90%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-08,1.9893,-4.05%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-05,2.0733,-4.85%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-04,2.1789,1.80%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-03,2.1403,3.29%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-02,2.0721,1.63%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-06-01,2.0389,-5.25%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-29,2.1519,-5.14%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-28,2.2684,0.35%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-27,2.2606,-2.61%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-26,2.3211,-0.62%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-25,2.3355,7.03%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-22,2.1821,2.47%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-21,2.1295,-2.90%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-20,2.1931,4.48%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-19,2.0990,3.76%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-18,2.0230,0.89%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=1&per=20
008887,2026-05-15,2.0051,-0.25%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-05-14,2.0101,-2.52%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-05-13,2.0621,2.46%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-05-12,2.0126,0.63%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-05-11,2.0000,5.94%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-05-08,1.8879,-2.82%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-05-07,1.9426,1.37%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-05-06,1.9163,6.15%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-30,1.8052,5.04%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-29,1.7186,-0.57%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-28,1.7284,-1.04%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-27,1.7466,4.60%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-24,1.6698,1.65%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-23,1.6427,-1.34%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-22,1.6650,2.64%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-21,1.6221,-1.40%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-20,1.6451,1.67%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-17,1.6180,0.66%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-16,1.6074,1.06%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-15,1.5906,-0.44%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=2&per=20
008887,2026-04-14,1.5976,1.95%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-13,1.5670,0.61%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-10,1.5575,1.78%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-09,1.5302,0.01%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-08,1.5301,5.87%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-07,1.4452,1.50%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-03,1.4239,-0.36%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-02,1.4290,-2.83%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-04-01,1.4706,3.19%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-31,1.4251,-3.44%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-30,1.4759,-0.36%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-27,1.4813,0.29%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-26,1.4770,-2.35%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-25,1.5126,2.22%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-24,1.4798,1.41%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-23,1.4592,-4.68%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
008887,2026-03-20,1.5308,-1.51%,开放申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=008887&page=3&per=20
