area,severity,path,row_id,field,message,action
alipay_positions,warn,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/imports/alipay_positions.csv,FUND001,source_note,optional source_note contains sample/demo marker,Replace only if you want optional real-holding overlay
alipay_positions,warn,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/imports/alipay_positions.csv,FUND003,source_note,optional source_note contains sample/demo marker,Replace only if you want optional real-holding overlay
alipay_positions,warn,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/imports/alipay_positions.csv,FUND004,source_note,optional source_note contains sample/demo marker,Replace only if you want optional real-holding overlay
alipay_positions,warn,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/imports/alipay_positions.csv,FUND005,source_note,optional source_note contains sample/demo marker,Replace only if you want optional real-holding overlay
benchmark_history,warn,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/manual/benchmark_price_history.csv,000001.SH,source_type,Shanghai Composite uses public aggregation fallback,Prefer moomoo or official source when available
benchmark_history,warn,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/manual/benchmark_price_history.csv,SPX,source_type,S&P 500 uses public aggregation fallback,Prefer moomoo or official source when available
